ID,name,imageA,imageB
5,トラップ,/images/sub/2705be54dafc7a426539c9e8f701197b7a9373f5.png,/images/sub/2e2d1dca678ca3b3e011c3e4620c5c0fa31a9248.png
4,ロボットボム,/images/sub/457de86fa079df54c7a3c96decca49a55a1686ae.png,/images/sub/f0e4b4bad0e37031b8cb8ff397d4bb0ad9c86307.png
8,ポイントセンサー,/images/sub/14b4d4ef62e915e87bd7caa8b99fb4e986caea26.png,/images/sub/627ae0ea02ab649a7a482ee7ee7ace85ca307f44.png
0,スプラッシュボム,/images/sub/d2eaeec524d28ef315a13f8a9e11dd1039cb78aa.png,/images/sub/b13bf755b279af83904892fae01cd98c866dfec7.png
9,スプラッシュシールド,/images/sub/b00df7ddec57c9254094c901dbb7533b61e5a3e3.png,/images/sub/42940c5ac8fea75599f8d8379f9e0c5bbd2eaedd.png
6,スプリンクラー,/images/sub/46f5b9fe851d4ac8df9eb959e7270ff72526dffe.png,/images/sub/47b6c31e712634bd793d5b920288fe7b1fb3c2bd.png
10,ジャンプビーコン,/images/sub/5a31dff440e88eb711c6e810c25b8ae3ce8e64b8.png,/images/sub/9c61e8fb4acef3d926be099603a74a02b0976431.png
3,カーリングボム,/images/sub/e398a9e0360f048b6a0c4c3c1e89211cca96577f.png,/images/sub/2b5797c0ad847a54b9bd8168e75050484919d373.png
2,クイックボム,/images/sub/5f978ddb4716f0d04fcc737755b0b3d212d5671c.png,/images/sub/0c90dd7487c0c1179e0e6827b8928143cf04e336.png
1,キューバンボム,/images/sub/79ec06c8afca6af0e14da4d9941706bb15f9927e.png,/images/sub/9d6336b855940f6c8fc82979a972f9f3381c0e65.png
7,ポイズンミスト,/images/sub/7d58593453b479138bca576ea13c19b870059ce9.png,/images/sub/9ab41340bfcef91125430d18015ccf98985efdb6.png
11,タンサンボム,/images/sub/6b589403f151ac0c39e99c6e163cf2c461a1fb25.png,/images/sub/8d5de4aa7c2222a224dcbb9cdb2b320a38cf7ed9.png
12,トーピード,/images/sub/e9df0dfef8af0a69f0f0d0a08de90b3314ed82da.png,/images/sub/88f5dd0c10a851227ef618e770b2934a39d7078e.png
